window_start,lower,upper,width,feasible_start_count,refinement_trigger_Ida,refinement_trigger_0_25,refinement_status,root_certificate
2021-10-24,0.044927926386287155,0.05393523097682105,0.009007304590533893,113,False,False,PRESERVED_INTERVAL_NO_CARTESIAN_ENUMERATION,"{""LP"": 0.04492793638628716, ""Q_dimension"": 7, ""raw"": 0.04492793638628716, ""spectral"": 0.012408872190906497, ""support_only"": 0.0}"
2021-10-31,0.04522401366894372,0.04522402366894368,9.999999960041972e-09,113,False,False,PRESERVED_INTERVAL_NO_CARTESIAN_ENUMERATION,"{""LP"": 0.04522402366894372, ""Q_dimension"": 7, ""raw"": 0.04522402366894372, ""spectral"": 0.01333782862116877, ""support_only"": 0.0}"
2021-11-07,0.043957418267478184,0.04395742826747814,9.999999953103078e-09,113,False,False,PRESERVED_INTERVAL_NO_CARTESIAN_ENUMERATION,"{""LP"": 0.043957428267478185, ""Q_dimension"": 7, ""raw"": 0.043957428267478185, ""spectral"": 0.01583115160267551, ""support_only"": 0.0}"
2021-11-14,0.03535302210938903,0.03535303210938863,9.999999599219489e-09,113,False,False,PRESERVED_INTERVAL_NO_CARTESIAN_ENUMERATION,"{""LP"": 0.03535303210938903, ""Q_dimension"": 7, ""raw"": 0.03535303210938903, ""spectral"": 0.011950354776048538, ""support_only"": 0.0}"
2021-11-28,0.07181596038133972,0.07181597038133965,9.999999925347502e-09,113,False,False,PRESERVED_INTERVAL_NO_CARTESIAN_ENUMERATION,"{""LP"": 0.07181597038133972, ""Q_dimension"": 7, ""raw"": 0.07181597038133972, ""spectral"": 0.02453355657130174, ""support_only"": 0.0}"
2021-12-05,0.053791055594547284,0.05379106559454733,1.0000000043308699e-08,113,False,False,PRESERVED_INTERVAL_NO_CARTESIAN_ENUMERATION,"{""LP"": 0.053791065594547285, ""Q_dimension"": 7, ""raw"": 0.053791065594547285, ""spectral"": 0.019392463441320718, ""support_only"": 0.0}"
2021-12-12,0.029040902275113353,0.056070956490434254,0.0270300542153209,113,False,False,PRESERVED_INTERVAL_NO_CARTESIAN_ENUMERATION,"{""LP"": 0.029040912275113354, ""Q_dimension"": 7, ""raw"": 0.029040912275113354, ""spectral"": 0.012705581322216952, ""support_only"": 0.0}"
2021-12-19,0.07961390468682349,0.07961391468682326,9.999999772691837e-09,113,False,False,PRESERVED_INTERVAL_NO_CARTESIAN_ENUMERATION,"{""LP"": 0.07961391468682348, ""Q_dimension"": 7, ""raw"": 0.07961391468682348, ""spectral"": 0.03660553130987336, ""support_only"": 0.0}"
2021-12-26,0.07220259334331766,0.0722026033433177,1.0000000036369805e-08,113,False,False,PRESERVED_INTERVAL_NO_CARTESIAN_ENUMERATION,"{""LP"": 0.07220260334331766, ""Q_dimension"": 7, ""raw"": 0.07220260334331766, ""spectral"": 0.028677454758664764, ""support_only"": 0.0}"
2022-01-02,0.04524529627115822,0.0636097035941829,0.018364407323024683,113,False,False,PRESERVED_INTERVAL_NO_CARTESIAN_ENUMERATION,"{""LP"": 0.04524530627115822, ""Q_dimension"": 7, ""raw"": 0.04524530627115822, ""spectral"": 0.014822378593503856, ""support_only"": 0.0}"
